VM,Task,pr,Selection_Type,ALO-Execution time(s),HBA-Execution time(s),HGA-Execution time(s)
30,100,0,Baseline Experiment,83.02375603,9.143720627,5.809526205
30,100,0.1,Low pr,78.70477676,8.461467743,5.92939949
30,100,0.25,Moderate pt,78.60477924,7.762804747,5.907713175
30,100,0.5,Balanced pr,78.9381187,6.397729635,6.047988892
30,100,0.75,High pr,78.91741872,6.453554869,5.84642005
30,100,0.9,Extreme pr,78.3918941,5.231884003,5.781383991
30,100,1,max pr,78.59555411,6.468706131,5.757310867
45,100,0,Baseline Experiment,78.78785205,5.194777727,6.024199247
45,100,0.1,Low pr,78.72732997,5.796005249,5.794411421
45,100,0.25,Moderate pt,78.57973313,5.938601255,5.926734686
45,100,0.5,Balanced pr,78.6312933,5.319339037,5.906826019
45,100,0.75,High pr,79.12116218,6.645843506,5.867824316
45,100,0.9,Extreme pr,79.06471634,5.614808559,5.788278103
45,100,1,max pr,78.70640039,6.7716012,5.807516575
60,100,0,Baseline Experiment,78.87539864,5.306494236,5.800790787
60,100,0.1,Low pr,78.81043196,6.236805916,5.851431608
60,100,0.25,Moderate pt,78.47405338,5.542638779,5.699407101
60,100,0.5,Balanced pr,77.59659362,5.257837057,5.778111696
60,100,0.75,High pr,78.62491345,6.589888334,5.705826283
60,100,0.9,Extreme pr,78.798033,5.267280102,5.669265032
60,100,1,max pr,78.89853239,6.507159233,5.688921213
75,100,0,Baseline Experiment,78.94197369,5.356924772,5.750721931
75,100,0.1,Low pr,79.0327518,6.744937897,5.788339376
75,100,0.25,Moderate pt,78.86057425,5.361273289,5.748751879
75,100,0.5,Balanced pr,78.68081284,5.908447266,5.735148191
75,100,0.75,High pr,77.93829989,6.34162569,5.740007401
75,100,0.9,Extreme pr,78.81257987,5.515953064,5.840716362
75,100,1,max pr,78.8010757,6.835583448,5.697105885
90,100,0,Baseline Experiment,79.2408638,5.419710875,5.790020704
90,100,0.1,Low pr,78.86237073,6.795969725,5.889153957
90,100,0.25,Moderate pt,79.26909304,5.539969206,5.877081156
90,100,0.5,Balanced pr,81.14432335,6.731366634,5.736490011
90,100,0.75,High pr,79.85875607,5.604712486,5.862901688
90,100,0.9,Extreme pr,79.26225114,5.88019681,5.778102636
90,100,1,max pr,79.39678812,6.484387398,5.926970243
30,375,0,Baseline Experiment,296.9595494,15.34015298,15.39002252
30,375,0.1,Low pr,296.3498254,15.24302721,15.53399634
30,375,0.25,Moderate pt,288.4359372,15.33496284,15.69481659
30,375,0.5,Balanced pr,293.2589264,16.03621268,15.31938457
30,375,0.75,High pr,291.3092499,16.16128063,15.41574955
30,375,0.9,Extreme pr,289.1292837,15.36097217,15.68168974
30,375,1,max pr,289.7587357,15.3477459,15.53749418
45,375,0,Baseline Experiment,287.7520077,15.65172839,15.85057735
45,375,0.1,Low pr,288.9858401,19.90573454,15.90356445
45,375,0.25,Moderate pt,287.2651088,17.79561591,15.28895783
45,375,0.5,Balanced pr,288.8871791,15.70423484,14.98376536
45,375,0.75,High pr,288.014293,15.35512567,15.06485486
45,375,0.9,Extreme pr,288.4182975,15.45457959,14.92076612
45,375,1,max pr,289.2833462,15.94622326,14.74951315
60,375,0,Baseline Experiment,288.9535179,16.4370904,14.72737288
60,375,0.1,Low pr,286.4269724,15.45911431,14.87819338
60,375,0.25,Moderate pt,289.8468714,15.42283821,14.82168984
60,375,0.5,Balanced pr,288.2875657,15.57444835,14.85064268
60,375,0.75,High pr,288.416158,15.47327352,14.84629297
60,375,0.9,Extreme pr,289.7482419,15.64327788,14.83604145
60,375,1,max pr,290.2030165,16.38658595,15.02471614
75,375,0,Baseline Experiment,290.1434026,16.07411146,14.72017813
75,375,0.1,Low pr,289.4622061,15.66257071,15.01780319
75,375,0.25,Moderate pt,292.254308,16.60140681,14.92676926
75,375,0.5,Balanced pr,290.0053709,16.35460877,14.80056286
75,375,0.75,High pr,288.0446761,16.30078125,14.70927691
75,375,0.9,Extreme pr,289.7311914,16.63117838,14.78664136
75,375,1,max pr,287.7291732,15.99988317,15.03050423
90,375,0,Baseline Experiment,289.4498715,15.88698602,14.87870455
90,375,0.1,Low pr,287.4970722,15.93845749,15.29913855
90,375,0.25,Moderate pt,289.6236916,15.74567175,15.01530933
90,375,0.5,Balanced pr,284.3427985,16.82158113,14.99206352
90,375,0.75,High pr,296.8814614,16.32430339,14.93732977
